,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,medium,Entertainment: Music,Which of the following music bands is not from Finland?,Sabaton,"['Apocalyptica', 'Waltari', 'Lordi']"
1,multiple,medium,History,When did Jamaica recieve its independence from England? ,1962,"['1492', '1963', '1987']"
2,multiple,hard,Entertainment: Video Games,How many voice channels does the Nintendo Entertainment System support natively?,5,"['4', '6', '3']"
3,boolean,easy,Entertainment: Video Games,"In &quot;Super Mario 3D World&quot;, the Double Cherry power-up originated from a developer accidentally making two characters controllable.",True,['False']
4,multiple,medium,Entertainment: Video Games,Who is the main character in the video game &quot;Just Cause 3&quot;?,Rico Rodriguez,"['Tom Sheldon', 'Marcus Holloway', 'Mario Frigo']"
5,boolean,hard,Mythology,Janus was the Roman god of doorways and passageways.,True,['False']
6,multiple,easy,General Knowledge,Which sign of the zodiac is represented by the Crab?,Cancer,"['Libra', 'Virgo', 'Sagittarius']"
7,multiple,medium,Science: Computers,What does the term GPU stand for?,Graphics Processing Unit,"['Gaming Processor Unit', 'Graphite Producing Unit', 'Graphical Proprietary Unit']"
8,multiple,medium,Entertainment: Video Games,Which of these operators from &quot;Tom Clancy&#039;s Rainbow Six Siege&quot; has the ability to damage reinforced walls?,Jordan &quot;Thermite&quot; Trace,"['Eliza &quot;Ash&quot; Cohen', 'Seamus &quot;Sledge&quot; Cowden', 'Dominic &quot;Bandit&quot; Brunsmeier']"
9,multiple,medium,Science &amp; Nature,What is Hypernatremia?,Increase in blood sodium,"['Decrease in blood potassium', 'Increase in blood glucose', 'Decrease in blood iron']"
10,multiple,medium,General Knowledge,"The new One World Trade Center in Manhattan, New York City was designed by which architect? ",David Childs,"['Bjarke Ingels', 'Michael Arad', 'Fumihiko Maki']"
11,multiple,medium,Entertainment: Television,What is Meg&#039;s full name in &quot;Family Guy&quot;?,Megatron Griffin,"['Who-Cares Griffin', 'Neil Griffin', 'Megan Griffin']"
12,multiple,hard,Science: Computers,What was the first company to use the term &quot;Golden Master&quot;?,Apple,"['IBM', 'Microsoft', 'Google']"
13,boolean,easy,Entertainment: Video Games,"Several characters in &quot;Super Mario 64&quot; blink their eyes, including Mario himself.",True,['False']
14,multiple,easy,Entertainment: Books,"What was the name of Captain Nemo&#039;s submarine in &quot;20,000 Leagues Under the Sea&quot;?",The Nautilus,"['The Neptune', 'The Poseidon  ', 'The Atlantis']"
15,multiple,easy,Entertainment: Music,The 2016 song &quot;Starboy&quot; by Canadian singer The Weeknd features which prominent electronic artist?,Daft Punk,"['deadmau5', 'Disclosure', 'DJ Shadow']"
16,multiple,easy,Sports,&quot;Stadium of Light&quot; is the home stadium for which soccer team?,Sunderland FC,"['Barcelona FC', 'Paris Saints-Germain', 'Manchester United']"
17,multiple,hard,Entertainment: Film,"In the 1964 film &quot;Zulu&quot;, what song does the British Army company sing before the final battle?",Men of Harlech,"['Scotland the Brave', 'Colonel Bogey March', 'The British Grenadiers']"
18,multiple,medium,Entertainment: Video Games,"In World of Warcraft lore, who was first to have the title &quot;The Ashbringer&quot;?",Alexandros Mograine,"['Tirion Fordring', 'Arthas Menethil', 'Uther the Lightbringer']"
19,multiple,medium,Entertainment: Television,Which boxing personality was one of the presenters in the 1999 revival of It&#039;s a Knockout?,Frank Bruno,"['Henry Cooper', 'Muhammad Ali', 'Joe Fraiser']"
